name				N	E	S	W	U	D	flippable
01_fourway			D	D	D	D	N	/	N
02_tunnel			/	D	/	D	/	/	N
03_peninsula		N	N	D	N	N	/	N
04_clovercorner		N	N	D	D	N	/	N
05_raisedtee		D	D	N	D	N	/	Y
06_tripleblades		D	W	D	N	/	/	N
07_threeway			D	W	D	D	N	/	Y
08_wallclimbing		N	O	D	D	N	/	Y
09_surrounded		D	W	W	W	N	/	N
10_meander			D	N	W	D	N	/	Y
11_thegap			D	N	D	N	N	/	N
12_bigo				D	N	D	N	N	/	N
13_pitstop			D	W	D	N	N	/	N
14_threehops		D	N	D	N	N	/	Y
15_curlicue			D	W	W	N	N	/	Y
16_brokencrossing	D	D	D	D	N	/	Y
17_halves			D	N	D	N	N	/	N
